,gender,name,original_name
15714,1,Joan Marshall,Joan Marshall
13563,2,Norman Jewison,Norman Jewison
152666,2,Gary Collins,Gary Collins
200507,0,John Findlater,John Findlater
161441,1,Eileen Wesson,Eileen Wesson
152719,2,Lew Brown,Lew Brown
1412543,0,Ilana Dowding,Ilana Dowding
153545,1,Lisa Gerritsen,Lisa Gerritsen
1412549,0,Patty Poulsen,Patty Poulsen
91261,1,Ena Hartman,Ena Hartman
1412558,0,Malila Saint Duval,Malila Saint Duval
1243622,2,Albert Reed Jr.,Albert Reed Jr.
194646,0,Jodean Lawrence,Jodean Lawrence
1412669,0,Nancy Ann Nelson,Nancy Ann Nelson
153556,1,Janis Hansen,Janis Hansen
84631,1,Mary Jackson,Mary Jackson
1221564,0,Shelly Novack,Shelly Novack
1171678,0,Chuck Daniel,Chuck Daniel
1226675,1,Pat Priest,Pat Priest
4139,2,Tom Skerritt,Tom Skerritt
9805,1,Sally Kellerman,Sally Kellerman
9806,2,Roger Bowen,Roger Bowen
9807,2,René Auberjonois,René Auberjonois
9809,1,Jo Ann Pflug,Jo Ann Pflug
9810,2,Gary Burghoff,Gary Burghoff
9811,2,Fred Williamson,Fred Williamson
4776,2,Michael Murphy,Michael Murphy
1509280,0,Ken Prymus,Ken Prymus
1663268,0,Kim Atwood,Kim Atwood
30612,2,Timothy Brown,Timothy Brown
24046,2,John Schuck,John Schuck
1663269,0,Dawne Damon,Dawne Damon
8555,2,Carl Gottlieb,Carl Gottlieb
1663270,1,Tamara Wilcox-Smith,Tamara Wilcox-Smith
4977,2,G. Wood,G. Wood
111383,2,Danny Goldman,Danny Goldman
34686,2,Corey Fischer,Corey Fischer
16483,2,Sylvester Stallone,Sylvester Stallone
10420,2,Stephen Altman,Stephen Altman
153535,2,Jerry Jones,Jerry Jones
210420,2,James B. Douglas,James B. Douglas
1220747,2,Gerry Okuneff,Gerry Okuneff
133585,2,Art Lund,Art Lund
116576,2,Anthony Costello,Anthony Costello
1232475,1,Frances Heflin,Frances Heflin
155607,2,Malachy McCourt,Malachy McCourt
2006398,1,Susan Goodman,Susan Goodman
3284045,0,Tom Jones,Tom Jones
2006404,1,Karen Machon,Karen Machon
1227492,2,David Collings,David Collings
184973,1,Suzanne Neve,Suzanne Neve
92432,1,Frances Cuka,Frances Cuka
101529,2,Derek Francis,Derek Francis
1279354,0,Paddy Stone,Paddy Stone
215281,0,Helena Gloag,Helena Gloag
183833,2,Reg Lever,Reg Lever
1279359,2,Richard Beaumont,Richard Beaumont
1678479,0,Philip Da Costa,Philip Da Costa
3351641,0,Raymond Hoskins,Raymond Hoskins
3351644,0,John O'Brien,John O'Brien
1939828,0,Gaynor Hodgson,Gaynor Hodgson
3351652,0,David Peacock,David Peacock
2799405,0,Nicholas Locise,Nicholas Locise
3351654,0,Michael Reardon,Michael Reardon
3351659,0,Karen Scargill,Karen Scargill
3182555,0,Joy Leigh,Joy Leigh
3351663,0,Terry Winter,Terry Winter
2777988,0,Sara Gibson,Sara Gibson
202729,0,Stephen Garlick,Stephen Garlick
68411,2,Sō Yamamura,Sō Yamamura
13251,2,Tatsuya Mihashi,Tatsuya Mihashi
123379,2,Shôgo Shimada,Shôgo Shimada
123382,2,Junya Usami,Junya Usami
138445,2,Asao Uchida,Asao Uchida
1163994,0,Rick Cooper,Rick Cooper
1459109,2,Elven Havard,Elven Havard
1228096,0,Jerry Fogel,Jerry Fogel
1459104,2,Shunichi Nakamura,Shunichi Nakamura
134346,2,Hisao Toake,Hisao Toake
123384,2,Bontarō Miake,Bontarō Miake
1093745,2,Ichirō Ryūzaki,Ichirō Ryūzaki
1560998,1,Kazuko Ichikawa,Kazuko Ichikawa
1374832,2,Hank Jones,Hank Jones
153618,2,Karl Lukas,Karl Lukas
