,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
Morocco_1930,False,/14LmfWZtU3PgbOCpPoP0IcsJyaz.jpg,"[18, 10749]",42641,en,Morocco,"The Foreign Legion marches in to Mogador with booze and women in mind just as singer Amy Jolly arrives from Paris to work at Lo Tinto's cabaret. That night, insouciant legionnaire Tom Brown catches her inimitably seductive, tuxedo-clad act. Both bruised by their past lives, the two edge cautiously into a no-strings relationship while being pursued by others. But Tom must leave on a perilous mission: is it too late for them?",7.738,/jDqZsxyv35iyJWW0mANk1RhxhJp.jpg,1930-11-14,Morocco,False,6.5,107
Min and Bill_1930,False,/tffrbnKlVzcYlXxBNOcf5zWWnZx.jpg,"[18, 35]",85505,en,Min and Bill,"Min, the owner of a dockside hotel, is forced to make difficult decisions about the future of Nancy, the young woman she took in as an infant.",2.521,/9I8cAo1fbEeztrgvbNwk18xqTwz.jpg,1930-11-29,Min and Bill,False,6.7,14
Holiday_1930,False,/ueLbJpqw7Bn7JlQ3abCTVHCWm4J.jpg,"[35, 10749]",104219,en,Holiday,A young man is torn between his free-thinking lifestyle and the tradition of his wealthy fiancée's family.,1.461,/9LkyS3WuZsnSZlMlJgX9OtIeaqe.jpg,1930-07-03,Holiday,False,5.9,13
Just Imagine_1930,False,/mVUzOA8NMZ3JRPmV3x9ecCcF7XD.jpg,"[35, 14, 10402, 878]",90395,en,Just Imagine,"New York, 1980: airplanes have replaced cars, numbers have replaced names, pills have replaced food, government-arranged marriages have replaced love, and test tube babies have replaced ... well, you get the idea. Scientists revive a man struck by lightning in 1930; he is rechristened ""Single O"". He is befriended by J-21, who can't marry the girl of his dreams because he isn't ""distinguished"" enough -- until he is chosen for a 4-month expedition to Mars by a renegade scientist. The Mars J-21, his friend, and stowaway Single O visit is full of scantily clad women doing Busby Berkeley-style dance numbers and worshiping a fat middle-aged man.",1.316,/tieZly0YX34rrBUrVHTuG0VlRMk.jpg,1930-11-23,Just Imagine,False,5.3,10
Svengali_1930,,,,,,,,,,,,,,
Whoopee!_1930,False,/mZk2fz2Wok6EsESjXbNW8NDXxP0.jpg,"[10402, 35]",108224,en,Whoopee!,"Western sheriff Bob Wells is preparing to marry Sally Morgan; she loves part-Indian Wanenis, whose race is an obstacle. Sally flees the wedding with hypochondriac Henry Williams, who thinks he's just giving her a ride; but she left a note saying they've eloped! Chasing them are jilted Bob, Henry's nurse Mary (who's been trying to seduce him) and others.",0.876,/jVggH7wheJahCoQWUzt1CA2KGVN.jpg,1930-09-26,Whoopee!,False,7,7
The Right to Love_1930,False,/tJPLNOa3W45reECRkA0nVluL5Ah.jpg,[18],173746,en,The Right to Love,A woman becomes estranged from her daughter when the girl learns that she is illegitimate.,0.6,/1hDxkqS8tlvMqBIiRKccX1A06n8.jpg,1930-12-27,The Right to Love,False,0,0
Tabu_1930,,,,,,,,,,,,,,
East Lynne_1930,,,,,,,,,,,,,,
Trader Horn_1930,,,,,,,,,,,,,,
